Longueur; L=1; L=2; L=3; L=4; L=5; L=6; L=7; L=8; L=9; L=10; L=11; L=12; L=13; L=14
;['I']/4104;['Mr.']/71;['Mrs. Luttridge', 'Mr. Hervey', 'Mrs. Ormond']/7;['c.& c']/5;["Mrs. Luttridge' s", 'c.& c.']/3;['c.& c.&']/2;['c.& c.& c']/2;['c.& c.& c.', "I don' t wish to go to"]/1;['c.& c.& c.&']/1;['c.& c.& c.& c']/1;[];[];[]; []
;['s']/274;['I am']/56;['Mr. Percival', "don' t", 'Mr. Vincent']/6;["Mrs. Luttridge'"]/3;['Done! done!\xe2\x80\x9d cried', 'I had not forgotten the', "I don' t deserve", 'think of him no more', 'Philip was the person who', 'I knew what I ought', "don' t look so", "Don' t you,", 'merely for the sake of', 'courage to speak the truth', 'X--- says so,', 'tell her that it is', 'I will not be a', 'statutes of Oakly- park', 'give to Mr. Hervey', 'From Oakly- park,\xe2\x80\x9d', 'I did not say so', 'Do go about your business', 't wish to go to', 'things have gone so far', "don' t wish to", 'heard of\xe2\x80\x98 love me', 'relations hate me\xe2\x80\x94 no', 'He is not a man', 'I do not love you', 'O, lady Anne Percival', "sure I don' t", 'love me, love my', 'full and true description of', 'I am\xe2\x80\x94 I am', 'morrow\xe2\x80\x94 and to morrow', 'Doctor X--- says so', 'common friend of acknowledged taste', 'friend of acknowledged taste and', 'I do not wish to', "I' ve found it", 'knew what I ought to', 'I had not the courage', 'It is not only when', 'I wish her only to', 'I must not think of', "I don' t wish", 'hate me\xe2\x80\x94 no matter', "St. Pierre' s", "Can' t the man", 'I ought to have been', 'those who have not the', 'thing, that her ladyship']/1;["St. Pierre' s Virginia", 'friend of acknowledged taste and experience', 'I had not the courage to', 'common friend of acknowledged taste and', 'relations hate me\xe2\x80\x94 no matter', 'Doctor X--- says so,', 'I do not wish to marry', 'I knew what I ought to', "don' t wish to go", 'full and true description of him', 'O, lady Anne Percival is', "sure I don' t deserve", "I don' t wish to", 'heard of\xe2\x80\x98 love me,', 'X--- says so, and', "I' ve found it!\xe2\x80\x94"]/1;["don' t wish to go to", "I don' t wish to go", 'Doctor X--- says so, and']/1;[];[];[];[];[];[]; []
;['lady']/140;['I have', 'I was']/53;["I' ll", 'St. Pierre', 'c.&']/5;["lady Delacour' s", 'I knew you would', "I don' t", 'Tis good to be']/2;[];[];[];[];[];[];[];[];[]; []
;['Delacour']/88;['Mrs.']/45;['I am not', 'Mrs. Stanhope', 'I do not']/4;['true description of him', 'knew what I ought', 'From Oakly- park', "Pierre' s Virginia", 'fine lady\xe2\x80\x94 I', 'It is not only', "sure I don'", 'found me willing to', 'chuse it. She', "lover' s hopes", 'I was so late', 'those who have not', 'I am\xe2\x80\x94 I', 'O, lady Anne', 'I have read of', "don' t look", 'lady Delacour should die', 'Little did I know', 'I know it\xe2\x80\x94', 'give to Mr.', 'acknowledged taste and experience', "I' ve found", "Champfort' s fault", 't some of ye', 'love with a picture', 'battle between two dogs', 'judgment and knowledge of', 'tell her that it', 'I am not your', 'I can never more', "don' t wish", 'Virginia St. Pierre', 'I was far from', 'soon as I go', 'lady Anne Percival is', 'shake, shake,', 'full and true description', 'I do not love', 'Do go about your', 'matter\xe2\x80\x94 I despise', 'relations hate me\xe2\x80\x94', 'things have gone so', 'I will not be', "aunt Stanhope' s", 'wish to go to', 'I ought to have', 'ought to have been', 'Why was it necessary', 'Philip was the person', 'I wish her only', 'merely for the sake', 'think of him no', 'I beg your pardon', "don' t deserve", 'belief in a quack', 'friend of acknowledged taste', 'morrow\xe2\x80\x94 and to', 'I had not the', 'consult a physician\xe2\x80\x94', 'we grow tired of', 'manner of consequence to', 'Know at least the', 'Belinda Portman, and', 'God will bless you', 'How should he be', 'thing, that her', 'shall I say?', 'lost! lost!', 'upon me,\xe2\x80\x9d said', 'Mrs. Smith,', 'I ask for no', 'black and orange,', 'courage to speak the', 'love me, love', 'look back to it', 'hate me\xe2\x80\x94 no', 'coach- maker,', 'go about your business', "lord' s death", 'tell it you.', 'victorious. And he', 'I must not think', 'under the dominion of', 'dreaded the sight of', "wou' d not", 'rejoiced I am to', 'Dr. X---', 'woman blush before?\xe2\x80\x94', 'I give her up', 'Oakly- park,\xe2\x80\x9d', 'He is not a', 'I had not forgotten', "Don' t you", 'I meant not to', 've found it!\xe2\x80\x94', 'Done! done!\xe2\x80\x9d', 'quarrelled with me for', 'Doctor X--- says', 'I did not say', 'Am I to blame', 'Delacour shall make inquiries', 'entertaining man in the', 'heavenly sort of style', "Can' t the", 't wish to go', 'West- Indian ladies', 'I might have been', 'those who cease to', 'wish her only to', 'X--- says so', "duck' em\xe2\x80\x94", 'I do assure you', 'un petit nez retrouss\xc3\xa9', 'Mr. Percival,', 'satisfaction to me to', 'I have had no', 'la femme comme il', 'I do not wish', 'I will see her', 'heard of\xe2\x80\x98 love', 'She has made me', 'common friend of acknowledged', "St. Pierre'", 'put me out of', "Hervey' s taste", "I' ll lay", 'lord and my lady', 'I knew what I', 'To be sure,', 'shame! shame!', 'never more will I', 'statutes of Oakly-']/1;[];[];[];[];[];[];[];[];[]; []
;['Mr', 'The']/76;['I will']/40;['I should have', 'Juba, the', "I' m", "Luttridge' s", "duck' em", "father' s"]/3;[];[];[];[];[];[];[];[];[];[]; []
;['more']/68;['I had']/37;['speak to me', 'good to be', 'lady Anne Percival', 'She has made', 'ha! ha', "lady Delacour'", "Delacour' s", 'I ought to', "ma' am", 'Mrs. Smith', 'lady Delacour,', 'Mr. Hartley', 'I knew you', 'Tis good to', "I don'", 'knew you would', 'What did I', 'give her up', 'Oakly- park', 'Mrs. Fielding', 'I will not', 'Mrs. Freke', "I' ve", 'I did not', 'I had not', 'black and orange', "Where' s"]/2;[];[];[];[];[];[];[];[];[];[]; []
;['He']/67;["I'"]/22;['know it\xe2\x80\x94', 'repugnance for him', 'I have read', 'full and true', 'shall I say', 'great delight,', 'very glad to', 'books. They', "lover' s", 'X--- says', 'courage to be', 'I can remember', 'none of the', 'contrary to the', 'Mr. Capper', "Pierre' s", "mother' s", 'time or other', 'You have not', 'meant not to', 'general character,', 'ought.\xe2\x80\x9d\xe2\x80\x9c', 'more likely to', 'ask no questions', 'description of him', 'I hope,\xe2\x80\x9d', 'put it into', 'Dr. X', 'air, air', 'friend the colonel', "Can' t", 'course of the', 'I am sure', 'secret in the', 'courage to speak', 'sake of her', 'I beg that', 'bona fide,', 'fine lady\xe2\x80\x94', 'I ask for', 'I know it', '\x99\xe2\x80\x94\xe2\x80\x98 My', 'petit nez retrouss\xc3\xa9', 'acknowledged taste and', 'tell me,', 'drag me down', 'history piece,', 'much as he', 'I shall always', 'Delacour should die', 't look so', 'common friend of', 'Does she not', 'I have had', 'Strange, that', 'Let her be', 'I am gone', "wou' d", 'entertaining man in', 'O, how', 'battle between two', 'accustomed to him', 'To love her', 'I say?', 're eating it', 'Lord! madam', 'man in the', 'You perceive that', 'letters.\xe2\x80\x9d\xe2\x80\x9c', 't you,', 'Done! done', 'satisfaction to me', 'morrow\xe2\x80\x94 and', 'ought to have', 'much the better', 'little I have', "ladyship' s", 'things have gone', 'I am to', 'out of my', 've found it', 'Give ye joy', 'madame de Sevign\xc3\xa9', 'He was the', 'My father!\xe2\x80\x94', 'more agreeable,', 'heard of\xe2\x80\x98', 'How should he', 'O! that', 'wear it for', 'I have no', 'Damn it,', 'O, lady', 'true description of', "aunt Stanhope'", 'Delacour shall make', 'I am\xe2\x80\x94', "Don' t", 'God will bless', 'Belinda loves you', 'refuse him?\xe2\x80\x9d', 'partner of his', 'go away!', 'I beg your', 'I love you', 'cause of my', 'I do,', 'Know at least', 'He had not', 'go about your', 'I thought she', 'speech and confession', 'wish, that', 'I give her', 'thousand times more', 'more than they', 'Joy! Joy', 'happiest of men', 'loves you\xe2\x80\x94', 'put me out', 'laws of honour', "massa' s", 'shake, shake', 'Helena,\xe2\x80\x9c', 'He is not', 'coach- maker', 'I should be', 'beg your pardon', 'much for my', 'love with a', 'friend of acknowledged', 'Do go about', 'lord and my', 'courage, as', 'generous action than', 'heavenly sort of', 'I might have', 'Good night!\xe2\x80\x9d', 'shall we do', 'excusable, because', 'grow tired of', "Stanhope' s", 'blush before?\xe2\x80\x94', 'victorious. And', 'lady Delacour should', 'Virginia St.', 'those who cease', 'look back to', 'To be sure', 'tell it you', 'opinion of the', 'similarity of taste', 'trust you!\xe2\x80\x94', 'No!\xe2\x80\x94 No', 'those who have', 'll ask no', 'shall make inquiries', 'out of ten', 'I had scarcely', 'I could not', 'I have taken', 'I knew not', 'Where is your', 'She had a', 'Philip was the', 'shame! shame', 'un petit nez', 'under the dominion', 'military courage,', 'I wish her', 'sort of style', 'quarrelled with me', 'sort of way', 'arms of the', 'till he is', 'Doctor X---', 'displeased, and', 'What do you', 'merely for the', 'Am I to', 'love me,', 'Mrs. Maurice', 'I have surely', 'I come to', 'dreaded the sight', 's head,', 'I mean\xe2\x80\x94', 'I was so', 'matter\xe2\x80\x94 I', 'knew what I', 'She is not', 'West- Indian', 'lost! lost', 'I told you', 'pleasant young man', 'whether he would', 'loan that I', 'now that you', 'think of me', 'kill me,', 'E O table', 'I will see', 'I had no', 'Anne Percival is', 'ask for no', 'Delacour,\xe2\x80\x9c', 'statutes of Oakly', 'myrtle, which', 'woman blush before', 'I care not', 'I had been', 'give to Mr', 'waited, and', 'I to blame', 'up, and', 'go on,', 'From Oakly-', 'we grow tired', 't wish to', 'gone so far', 'thousand a year', 'indifferent spectator,', 'In love with', 't some of', 'manner of consequence', "That' s", 'more than I', 'Portman, and', 'la femme comme', 't the man', 'I never shall', 'slave of the', 'devil are you', 'never more will', 'never shall they', "couldn' t", 'one of my', 'make, I', "Champfort' s", 'Harriet Freke!\xe2\x80\x94', 'Mr. Moreton', 'think of him', 'approve of it', 'forget, how', 'sure I don', 'half the world', 'one thing,', 'It is not', 'love him enough', 'back to it', "Hervey' s", 'know how to', 'She has no', 'May I not', 'judgment and knowledge', 'I can be', 'I think of', 'I was far', 'I should introduce', "Lawless' s", 'belief in a', 'I meant not', 'myself in the', 'write?\xe2\x80\x9d\xe2\x80\x9c', 'one of the', 'Why was it', 'Little did I', 'speak the truth', 'y en a', 'need only be', 'relations hate me', 'found it!\xe2\x80\x94', 'taste and experience', 'bet, and', 'tell her that', 'want to be', 'I do assure', 'found me willing', 'rejoiced I am', 'chuse it.', 'instead of yours', 'wish to go', 'consult a physician', 'wish to marry', 'between two dogs', 'I do believe', 'left- handed', 'soon as I', 'more will I', 'family history piece', 'I thought something', 'I mentioned the', 'keep it up', 'thing, that', 'make a good', "lord' s", 'I only wish', 'upon me,\xe2\x80\x9d', 'I can never', 'body.\xe2\x80\x9d\xe2\x80\x9c', 'sir Philip Baddely', 'I would not', 'lady\xe2\x80\x94 I', "L' Ecossaise", 'more like a', 'wish her only', 'I must not', 'hate me\xe2\x80\x94', 'femme comme il', 'done!\xe2\x80\x9d cried', "wouldn' t", 'name of being', 'going to be', 're no longer', 'Belinda Portman,', 'I knew what']/1;[];[];[];[];[];[];[];[];[];[]; []
;['upon']/66;['lady Delacour']/20;[];[];[];[];[];[];[];[];[];[];[]; []
;['we', 'She']/55;['I should']/13;[];[];[];[];[];[];[];[];[];[];[]; []
;['one', 'Mrs']/48;['She has', 'I must', 'I can']/10;[];[];[];[];[];[];[];[];[];[];[]; []
